"Phone Number","Phone Number"
Fax,Fax
Address,Address
"Street Address","Street Address"
"Street Address %1","Street Address %1"
"VAT Number","VAT Number"
City,City
State/Province,State/Province
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","Zip/Postal Code"
Country,Country
"Use as my default billing address","Use as my default billing address"
"Use as my default shipping address","Use as my default shipping address"
"Save Address","Save Address"
"Go back","Буцах"
"Please enter your email below and we will send you the confirmation link.","Please enter your email below and we will send you the confirmation link."
Email,Email
"Send confirmation link","Send confirmation link"
"Back to Sign In","Back to Sign In"
"Current Password","Current Password"
"New Password","Шинэ нууц үг"
"Confirm New Password","Шинэ нууц үг бататгах"
Save,Save
"Please enter your email address below to receive a password reset link.","Нууц үг сэргээх холбоос хүлээж авахын тулд хэрэглэгчийн И-мэйлээ оруулна уу"
Submit,Submit
"Registered Customers","Бүртгэлтэй хэрэглэгчид"
"If you have an account, sign in with your email address.","Хэрэв та өөрийн данстай бол И-мэйл хаягаараа нэвтэрч орно уу."
Password,Password
Login,Login
"Forgot Your Password?","Нууц үгээ мартсануу?"
"Forgot Your Password","Нууц үгээ мартсан"
"Subscription option","Subscription option"
"General Subscription","General Subscription"
"Sign Up for Newsletter","Зар мэдээлэлд бүртгэх"
"Address Information","Хаягийн мэдээлэл"
"Sign-in Information","Нэвтрэх мэдээлэл"
"Confirm Password","Нууц үг баталгаажуулах"
"Create an Account","Шинэ хаяг үүсгэх"
"Set a New Password","Шинэ нууц үг оруулах"
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will go to our homepage in 5 seconds."
"New Customers","Шинэ хэрэглэгч"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Шинээр бүртгүүлснээр таны хаяг бүртгэгдэн, худалдаан авалт хийх мөн захиалгаа харах боломжтой болно."
Gender,Gender
Name,Name
"Tax/VAT number","Tax/VAT number"
"%name,","%name,"
"Welcome to %store_name.","Welcome to %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:"
Email:,Email:
Password:,Password:
"Password you set when creating account","Password you set when creating account"
